Country,USD,Year
Afghanistan,189,2016 est.
Albania,1231,2017 est.
Algeria,1698,2017 est.
American Samoa,4800,2013 est.
Andorra,24035,2016
Angola,1470,2017 est.
Antigua and Barbuda,3368,2017 est.
Argentina,3604,2017 est.
Armenia,957,2017 est.
Aruba,6450,2016 est.
Australia,20660,2017 est.
Austria,22960,2017 est.
Azerbaijan,1035,2017 est.
Bahamas,7816,2017 est.
Bahrain,6433,2017 est.
Bangladesh,246,2017 est.
Barbados,5628,2017 est.
Belarus,2365,2017 est.
Belgium,22470,2017 est.
Belize,1425,2017 est.
Benin,199,2017 est.
Bermuda,16213,2016 est.
Bhutan,1068,2017 est.
Bolivia,1534,2017 est.
Bosnia and Herzegovina,2076,2017 est.
Botswana,2699,2017 est.
Brazil,3732,2017 est.
British Virgin Islands,8379,2016 est.
Brunei,8915,2017 est.
Bulgaria,2877,2017 est.
Burkina Faso,168,2017 est.
Burma,205,2017 est.
Burundi,63,2017 est.
Cabo Verde,816,2017 est.
Cambodia,285,2017 est.
Cameroon,271,2017 est.
Canada,18321,2017 est.
Cayman Islands,12279,2016 est.
Central African Republic,47,2017 est.
Chad,96,2017 est.
Chile,3620,2017 est.
China,2735,2017 est.
Colombia,1978,2017 est.
Comoros,222,2017 est.
"Congo, Democratic Republic of the",39,2017 est.
"Congo, Republic of the",659,2017 est.
Costa Rica,2273,2017 est.
Cote d'Ivoire,338,2017 est.
Croatia,6303,2017 est.
Cuba,5448,2017 est.
Cyprus,6365,2017 est.
Czech Republic,7854,2017 est.
Denmark,30209,2017 est.
Djibouti,978,2017 est.
Dominican Republic,1239,2017 est.
Ecuador,2285,2017 est.
Egypt,554,2017 est.
El Salvador,1091,2017 est.
Equatorial Guinea,4302,2017 est.
Eritrea,435,2017 est.
Estonia,7948,2017 est.
Ethiopia,134,2017 est.
Faroe Islands,17327,2014 est.
Fiji,1821,2017 est.
Finland,25409,2017 est.
France,20960,2017 est.
French Polynesia,6312,2012
Gabon,1883,2017 est.
Gambia,176,2017 est.
Georgia,1212,2017 est.
Germany,19550,2017 est.
Ghana,440,2017 est.
Gibraltar,15342,2008 est.
Greece,9113,2017 est.
Greenland,32518,2015
Grenada,2539,2017 est.
Guam,7081,2013 est.
Guatemala,578,2017 est.
Guernsey,7961,2005
Guinea,157,2017 est.
Guinea-Bissau,116,2017 est.
Guyana,1555,2017 est.
Haiti,208,2017 est.
Honduras,553,2017 est.
Hong Kong,8714,2017 est.
Hungary,6814,2017 est.
Iceland,28339,2017 est.
India,559,2017 est.
Indonesia,589,2017 est.
Iran,1038,2017 est.
Iraq,1899,2017 est.
Ireland,17209,2017 est.
Isle of Man,10547,FY05/06 est.
Israel,12118,2017 est.
